start,transcript
1:3:0,look at that it's just that most of the time you see the chinese players playing big and powerful shots they can do all the other stuff as well they can do some of the stuff that voldner can do and there's a big example of that right there yeah i couldn't agree with you more
1:3:15,"and it's not that they're not capable of playing touch, they're playing the wisest strategy to win. And that's what it takes. It's a little bit like moneyball, you look at what works and you stick to the plan. Yeah, there was no hand of concrete there as he managed to caress round the side of the net."
1:3:30,of
1:3:45,"that was relatively low. Well, that might look like Goma, popular Japanese word. It's actually Goma. Goma alone, the dragon. It's tough when the seats are equally spaced."
1:4:0,to the theme.
1:4:15,"Oh, break off the top of the net, and it's four game points. So Tong Zhendong, by the way, in case you don't speak Mandarin, Xiaopang."
1:4:30,"Little chubby, little fatty, a term of endearment is the nickname for Fan Zhendong throughout China Ma Long now Hoping to use two serves And he gets the first point, game point saved, the pressure continues"
1:4:45,"Good mess, good mess from Fan Zhendong there"
1:5:0,commentator narrates a specific sports game spectators standing over a game commentator narrates a specific sports game
1:5:15,and we are going to a seventh and deciding game it's the match we all wanted to see in the game we've all been waiting for call your friends grab your snacks and get comfy because game seven coming up right after this
1:5:30,"Personally I won't be sure about the camera angle, but let's aim it to get a better picture for this video Let me know in the comments what do you think about this game Don't forget to subscribe to my channel Thanks for watching"
1:5:45,OSHO International Meditative Self-Defence Forces Pre-O ceremony OSHO International Meditative Self-Defense Forces Pre-Occasional Delegation OSHO International Media Group Copyright © OSHO International Media Group
1:6:0,Дякую за перегляд!
1:6:15,"back to the table. You can hitting the ball on the ta up a bit more in that last shows it. Now, Gavin, we w"
1:6:30,second to last shot for the aggressive shot how he felt more comfortable trying it again.
1:6:45,before so yeah all credit to him short side of the table again a big shot to start off the game game seven again the momentum with bums and
1:7:0,Look at his legs the right. I mean the knee almost touches the ground He pulls that right foot so far back to be able to turn and play the short side
1:7:15,"Once again falling back from the table, it's down the line, it's the short side of the table for Fang Zhendong. Gavin, when is Ma Long going to pick up and start moving out to the forehand to cover and trust his backhand in the rally?"
1:7:30,It was a good spin up. He was expecting there that Fan Zhendong would play the backhand and we'd go into a backhand to backhand trade off.
1:7:45,And that's one way to handcuff the opponent. Serve it really wide to the backhand. Fang Zhendong is not likely to go for the around the net shot on the opening. Not against Ma Long.
1:8:0,at the World Championships went to seven games was a decade ago in 2007 Zagreb Wang Liqin vs. Ma Lin. Interestingly enough Wang Liqin also came back from 3-1 down.
1:8:15,he's fired up the dragon is breathing fire so even with this massive pressure on both of them the first four points nothing against the serve
1:8:30,"The American Pronunciation Guide Presents Clever idea, long push to start it off."
1:8:45,"seeing different intensity out here. Fang Zhendong with his chole and his clinched fist looked right in the eyes of Ma Long. Again, great friends off the table, but right now this fight, the gloves are off. Still playing fair. And when there's a bit of heat."
1:9:0,and a bit of pressure. Just don't miss your third ball.
1:9:15,credit again to ma long for moving anticipating well to cover the forehand it adds extra pressure for fang zhendong who has a plan he's played it successfully wide out to the forehand many times but seeing ma long waiting there makes you second guess yourself and try to play it even wider
1:9:30,
1:9:45,"Full stroke and just like you said, Gavin. Because it's the added intensity now, the pressure is there. Both players, their hand is a little bit tighter. When a player's hand is tight."
1:10:0,"you want to be attacking. And this is part of the reason we were saying earlier, the Chinese players, the top Chinese players will play boldly near the very end of a close match, and it tends to work out in their favor."
1:10:15,"Let's service, Ma Long with his hand in the air"
1:10:30,Deceptively heavy underspin.
1:10:45,"Now one thing we haven't talked about because it has it hasn't been that relevant in the match so far is the serves of Ma Long They're so deceptive, but they're very subtle. They're not flashy You know Dima has some very iconic signature serves and Ma Long"
1:11:0,the pendulum serve almost always the most traditional serve in table tennis but still with the third ball waiting and how difficult and subtle it is it's just really an intimidating an important job for the receiver to try and read it wrong
1:11:15,
1:11:30,Softball and spinning from Ma Long to take a 6-3 lead. First two points to Fang Zhendong in this game and it's been back and forth ever since but Ma Long is starting to run into a lead here.
1:11:45,"Remember, neither player has a timeout left, only one per side."
1:12:0,Great outing of the  Jungle Team Do you get an understanding of certain expenses? Visit the League of Legends Education website www.LeagueOfLegends.com
1:12:15,in that service delivery the racket of fans and dong was shaking again hopefully that's going to help him to bridge the gap these two points that he's trailing at the moment
1:12:30,I'm alone! Goal in!
1:12:45,and turns the corner sets it up well excellent use of the serves to get into the point it's like you said gavin once you turn the backhand corner and get into forehand no matter how strong your opponent's backhand is it should win the point and he has twice in a row
1:13:0,"That is what all these footwork exercises are for Get round there under this serious amount of pressure explosive big, powerful forehand To the right area Right, and actually I misspoke He's played it down the line to the short side Even more challenging"
1:13:15,for
1:13:30,like this.
1:13:45,"If I'm not mistaken, this is the first ever final in men's singles at a world championships for Fan Zhendong."
1:14:0,"Every point from here on out, Gavin. Just wasn't the racket head acceleration there from Fan Zhendong. And obviously with this Netaku ball, sometimes just going a little bit flatter and a little bit more direct."
1:14:15,"You need to accelerate the wrist to make sure you have that arc on the ball. So a second serve here to capitalize on, and it's crucial for Fan Zhendong with Ma Long's serves coming up."
1:14:30,"Oh, a break off the top of the net. He is so focused right now. I didn't even see him turn to apologize. He just immediately went down to his hand. I think thankful that he was able to take the point. And it looked like there when he was giving the ball back, he gave a little apology."
1:14:45,"Looks like Ma Long almost started to clinch his fist for that. Save your necks and edges until 3-0, 7-0. Timeouts earlier, nets and edges later."
1:15:0,"the new trend for table tennis. We saw the handshaking for Ma Long as well. The pressure on both sides, as many times as"
1:15:15,a
1:15:30,Shaking it is easier to get round and play forehands. It's very tough to have that touch and feeling on the ball for your backhand when the hand is definitely wobbling.
1:15:45,commentator narrates a specific sports game
1:16:0,Is this a changing of the guard at the top of world table tennis? Will the crown be handed down? Fan Zhendong has two serves and could decide that with these...
1:16:15,this fall in
1:16:30,this rally the grunt of ma long on that ball and he's rebalanced quickly his head just went from head height to about below the waist his body contorted screenshots are going to be going up an amazing
1:16:45,
1:17:0,And it goes long. Ma Long leaves it dangling off the forehand side. An uncomfortable ball. Will Ma Long rob this once again? What was the number one rule under pressure after a service?
1:17:15,
1:17:30,to remember how long is waiting there for the fourth ball attack for the counter and it was quite a receive to an uncomfortable place nine all in game seven ticket holders with the best investment of the year
1:17:45,Last two serve combination we will see for Ma Long. Whoa! Backhand to backhand the challenge. There was a shout from the crowd.
1:18:0,"In the middle of that, quite shocked to hear that, especially here, but to recover that ball way wide on the backhand side and keep it in play and deter the inside-out forehand. So Fan Zhendong was pointing."
1:18:15,"I'm really curious what it is. I guess just where the ball went that it went behind the scorekeeper, the assistant umpire scored me. Yeah but there was a massive shout there we could even hear that from our commentary position. I don't know if that was"
1:18:30,commentator narrates a specific sports game
1:18:45,the point of the match is against match point xiaopang on fire and ma long gave everything in the
1:19:0,at that point and still it wasn't enough to take down world number two right off the bat the back end to turning the corner and finally a shot so wide ma long a little bit farther from the table and it costs an 85
1:19:15,commentator narrates a specific sports game
1:19:30,"Deuce in the 7th, Fan Zhendong with the serve. And it goes loose! Look at the eye contact! That's the biggest celebration I've seen mid-match. Ma Long is ready. He is so ready to do it."
1:19:45,take this but it's not over yet and function don't prove that down 910 what a release of air and energy one more match point for the dragon in red
1:20:0,do you serve short or do you serve fast into the backhand run run blind and hit a forehand it's up to him
1:20:15,commentator narrates a specific sports game
1:20:30,"All on top of the world, three years unstoppable, and at 20 years old, he holds back Bong Joon Dong, who will remain number two in the world. What's it going to be? We're going to have an interview on the court from the man who..."
1:20:45,shared his love with the world after winning the olympic gold medal he can't believe it absolutely tested down to the line here both hands in the air this time and the racket that was tossed is collected along with the title
1:21:0,What a performance Gavin. He did so well on match point there. He ran round blind off the serve He gave himself lots and lots of space to rip that forehand ballsy really really positive
1:21:15,and look at him now celebrate and this is not the first time we've seen this gesture Ma Long held the flag with Zhang Jike shared the flag of China to hold up as a team after winning the Olympic Games in Rio
1:21:30,and once again immediately calls over Fan Zhendong the runner-up to share this moment with him a painful moment for Fan Zhendong but a moment of honor for China and the two best players in the world raising the
1:21:45,commentator narrates a specific sports game
1:22:0,"World Table Tennis Championships, live from Dusseldorf, Gavin, what a thriller! Unbelievable, the way that he managed to close that match out. Credit to both players, right from the start it was high, high."
1:22:15,after half of the first set when Ma Long was struggling to get into it from then on it was just exceptional stuff as he falls to the ground good thing the racket didn't come down but at this point he would take it if it had hit him in the head he probably wouldn't
1:22:30,You wouldn't have even noticed with all the elation he's feeling right now.
